station_id,phase_index,phase_time,phase_score,phase_type,dt_s,phase_amplitude,polarity,magnitude
E004,38388,2024-04-03T00:06:24.180000,0.521,P,0.01,0.005494,U,4.846903255176606
SM39,38446,2024-04-03T00:06:24.910000,0.53,S,0.01,0.08113,x,4.632703783854803
SM09,38463,2024-04-03T00:06:25.120000,0.395,S,0.01,0.0457,x,4.426651441942324
B215,38408,2024-04-03T00:06:25.400000,0.592,P,0.01,0.005185,D,4.638788842991123
SM06,38727,2024-04-03T00:06:27.370000,0.449,S,0.01,0.02372,x,4.5610525598456775
LATB,38927,2024-04-03T00:06:29.278000,0.393,S,0.01,0.0004789,x,4.4244995691721805
E077,38987,2024-04-03T00:06:30.270000,0.584,S,0.01,0.01131,x,4.537584682587597
E037,39322,2024-04-03T00:06:33.260000,0.348,S,0.01,0.01077,x,4.911732977732919
B215,39389,2024-04-03T00:06:35.210000,0.384,S,0.01,0.008266,x,4.638788842991123
SM09,39692,2024-04-03T00:06:37.410000,0.41,P,0.01,0.04704,x,
B189,40101,2024-04-03T00:06:41.920000,0.32,S,0.01,0.002243,x,4.30002942230943
SM06,40311,2024-04-03T00:06:43.210000,0.471,S,0.01,0.01297,x,
B068,40672,2024-04-03T00:06:47.050000,0.388,S,0.01,0.002546,x,4.617177997401524
C024,41204,2024-04-03T00:06:53.010000,0.448,S,0.01,0.004839,x,4.837525480303735
SM02,41249,2024-04-03T00:06:54.130000,0.345,P,0.01,0.007571,x,
SM06,41404,2024-04-03T00:06:54.140000,0.885,P,0.01,0.01235,x,
SM06,41869,2024-04-03T00:06:58.790000,0.496,S,0.01,0.01007,x,
SM39,42753,2024-04-03T00:07:07.980000,0.946,P,0.01,0.2224,x,4.124932347300144
SM09,42763,2024-04-03T00:07:08.120000,0.94,P,0.01,0.08903,x,4.010705823169785
SM02,42650,2024-04-03T00:07:08.140000,0.921,P,0.01,0.03519,x,3.6282829448096505
HWA,42826,2024-04-03T00:07:08.260000,0.341,P,0.01,0.0009663,U,3.1077319561315218
SM06,42887,2024-04-03T00:07:08.970000,0.808,P,0.01,0.01542,x,3.4540844262607138
SM39,42920,2024-04-03T00:07:09.650000,0.898,S,0.01,0.1418,x,4.124932347300144
SM02,42817,2024-04-03T00:07:09.810000,0.563,S,0.01,0.03519,x,3.6282829448096505
SHUL,42991,2024-04-03T00:07:09.910000,0.343,P,0.01,0.0006152,U,3.353533642208377
SM09,42947,2024-04-03T00:07:09.960000,0.57,S,0.01,0.08903,x,4.010705823169785
ESL,43019,2024-04-03T00:07:10.460000,0.356,P,0.01,0.01376,x,3.5419844629639448
SM06,43120,2024-04-03T00:07:11.300000,0.855,S,0.01,0.01542,x,3.4540844262607138
WUSB,43312,2024-04-03T00:07:13.128000,0.588,P,0.01,0.0003731,U,3.715212754162482
SHUL,44640,2024-04-03T00:07:26.400000,0.848,P,0.01,0.001065,U,3.912700013475408
ESL,44649,2024-04-03T00:07:26.760000,0.927,P,0.01,0.07792,x,4.39947592241813
SM06,44678,2024-04-03T00:07:26.880000,0.809,P,0.01,0.01292,D,3.984631880641409
EGC,20509,2024-04-03T00:07:27.090000,0.724,P,0.01,0.04444,x,4.213148190514654
EGFH,44799,2024-04-03T00:07:27.990000,0.701,P,0.01,0.0001307,D,3.222610230902464
F002,34243,2024-04-03T00:07:28.430000,0.34,P,0.01,0.009214,U,3.894318723874785
SM39,44808,2024-04-03T00:07:28.530000,0.426,P,0.01,0.04101,x,5.077241514573285
SHUL,44970,2024-04-03T00:07:29.700000,0.556,S,0.01,0.001065,x,3.912700013475408
ESL,44987,2024-04-03T00:07:30.140000,0.483,S,0.01,0.07792,x,4.39947592241813
SM06,45035,2024-04-03T00:07:30.450000,0.364,S,0.01,0.01292,x,3.984631880641409
EGC,20860,2024-04-03T00:07:30.600000,0.641,S,0.01,0.04444,x,4.213148190514654
EGFH,45222,2024-04-03T00:07:32.220000,0.416,S,0.01,0.0001307,x,3.222610230902464
YULB,45272,2024-04-03T00:07:32.728000,0.464,P,0.01,0.000386,U,3.737524741468514
SM09,45285,2024-04-03T00:07:33.340000,0.344,P,0.01,0.0276,x,
F002,34763,2024-04-03T00:07:33.630000,0.444,S,0.01,0.009214,x,3.894318723874785
WPL,45388,2024-04-03T00:07:34.080000,0.582,P,0.01,0.002167,x,4.045522556724444
B148,45334,2024-04-03T00:07:34.420000,0.315,P,0.01,0.00432,x,4.134384435464265
SML,45379,2024-04-03T00:07:34.520000,0.702,P,0.01,0.003672,D,4.38394893575024
B138,45486,2024-04-03T00:07:34.910000,0.317,S,0.01,0.003477,x,4.560002232128456
YUS,45529,2024-04-03T00:07:35.430000,0.548,P,0.01,0.0067,x,4.637032364578374
ALS,45632,2024-04-03T00:07:37.480000,0.548,P,0.01,0.001336,U,4.379798559040472
SM39,45846,2024-04-03T00:07:38.910000,0.722,P,0.01,0.1141,x,
SM02,45728,2024-04-03T00:07:38.920000,0.713,P,0.01,0.02903,x,
SM09,45853,2024-04-03T00:07:39.020000,0.868,P,0.01,0.1075,x,
SM06,45932,2024-04-03T00:07:39.420000,0.714,P,0.01,0.07294,x,
HGSD,45979,2024-04-03T00:07:39.790000,0.329,S,0.01,0.001322,x,
HOPB,45994,2024-04-03T00:07:39.943000,0.376,P,0.01,0.0008644,x,
ESL,46093,2024-04-03T00:07:41.200000,0.871,P,0.01,0.02915,x,
SM39,46099,2024-04-03T00:07:41.440000,0.835,S,0.01,0.1141,x,
ECB,46079,2024-04-03T00:07:41.680000,0.679,S,0.01,0.004934,x,4.078919850471264
SM09,46143,2024-04-03T00:07:41.920000,0.496,S,0.01,0.1075,x,
WPL,46194,2024-04-03T00:07:42.140000,0.47,S,0.01,0.002167,x,4.045522556724444
SM06,46217,2024-04-03T00:07:42.270000,0.867,S,0.01,0.07294,x,
YUS,46390,2024-04-03T00:07:44.040000,0.312,S,0.01,0.007072,x,4.637032364578374
SM39,46609,2024-04-03T00:07:46.540000,0.554,P,0.01,0.06025,x,
SM02,46497,2024-04-03T00:07:46.610000,0.599,P,0.01,0.0269,x,
SM06,46732,2024-04-03T00:07:47.420000,0.683,P,0.01,0.03675,x,
CHK,46806,2024-04-03T00:07:48.270000,0.459,S,0.01,0.008279,x,4.2620278802822265
SM39,46945,2024-04-03T00:07:49.900000,0.551,S,0.01,0.05623,x,
B090,47056,2024-04-03T00:07:51.810000,0.518,S,0.01,0.002771,x,4.491045912281876
E037,47231,2024-04-03T00:07:52.350000,0.394,P,0.01,0.003783,x,
F002,36642,2024-04-03T00:07:52.420000,0.439,P,0.01,0.004681,x,
C024,47180,2024-04-03T00:07:52.770000,0.688,S,0.01,0.004326,x,4.579578063651183
SM02,47320,2024-04-03T00:07:54.840000,0.492,P,0.01,0.02285,x,
SM09,47988,2024-04-03T00:08:00.370000,0.447,S,0.01,0.03119,x,
SM39,47998,2024-04-03T00:08:00.430000,0.448,S,0.01,0.09218,x,
SM02,47883,2024-04-03T00:08:00.470000,0.601,S,0.01,0.02285,x,
F002,37560,2024-04-03T00:08:01.600000,0.335,P,0.01,0.006009,x,
HOPB,48270,2024-04-03T00:08:02.703000,0.452,S,0.01,0.0008901,x,
F002,38346,2024-04-03T00:08:09.460000,0.386,S,0.01,0.006009,x,
SM06,49336,2024-04-03T00:08:13.460000,0.875,P,0.01,0.01589,x,
ESL,49340,2024-04-03T00:08:13.670000,0.941,P,0.01,0.03946,x,
SM39,49467,2024-04-03T00:08:15.120000,0.417,P,0.01,0.02602,x,
SM09,49486,2024-04-03T00:08:15.350000,0.746,P,0.01,0.01387,x,
F002,38941,2024-04-03T00:08:15.410000,0.372,P,0.01,0.004216,x,
ESL,49640,2024-04-03T00:08:16.670000,0.753,S,0.01,0.03946,x,
SM06,49681,2024-04-03T00:08:16.910000,0.453,S,0.01,0.01316,x,
SM02,49762,2024-04-03T00:08:19.260000,0.54,P,0.01,0.007127,x,
SM39,49946,2024-04-03T00:08:19.910000,0.435,S,0.01,0.02602,x,
ESL,51032,2024-04-03T00:08:30.590000,0.506,P,0.01,0.009066,x,
SM39,51047,2024-04-03T00:08:30.920000,0.499,P,0.01,0.01883,x,
SM39,51242,2024-04-03T00:08:32.870000,0.596,S,0.01,0.01883,x,
TDCB,51331,2024-04-03T00:08:33.318000,0.314,P,0.01,0.0003154,x,
E037,51872,2024-04-03T00:08:38.760000,0.302,P,0.01,0.003282,x,
SM09,52543,2024-04-03T00:08:45.920000,0.792,P,0.01,0.102,x,4.4837370278478375
SM39,52554,2024-04-03T00:08:45.990000,0.817,P,0.01,0.1603,x,4.887363798634084
SM02,52443,2024-04-03T00:08:46.070000,0.84,P,0.01,0.08783,x,4.690145872295068
HWA,52613,2024-04-03T00:08:46.130000,0.724,P,0.01,0.0006583,U,3.875968895452013
SM06,52651,2024-04-03T00:08:46.610000,0.845,P,0.01,0.0792,x,4.500684848247182
HOPB,52816,2024-04-03T00:08:48.163000,0.554,P,0.01,0.0009393,D,4.300607354173649
SHUL,52823,2024-04-03T00:08:48.230000,0.472,P,0.01,0.0008191,U,4.0533294810000005
ESL,52824,2024-04-03T00:08:48.510000,0.604,P,0.01,0.01194,x,4.166876641517559
EGC,28726,2024-04-03T00:08:49.260000,0.602,P,0.01,0.01783,x,4.578436309289879
B071,52906,2024-04-03T00:08:49.860000,0.322,S,0.01,0.001343,x,
SM09,52970,2024-04-03T00:08:50.190000,0.79,S,0.01,0.102,x,4.4837370278478375
SM39,52979,2024-04-03T00:08:50.240000,0.671,S,0.01,0.1603,x,4.887363798634084
SM02,52862,2024-04-03T00:08:50.260000,0.899,S,0.01,0.08783,x,4.690145872295068
EGFH,53041,2024-04-03T00:08:50.410000,0.353,P,0.01,0.0001183,D,3.165672148889174
HWA,53043,2024-04-03T00:08:50.430000,0.508,S,0.01,0.0006583,x,3.875968895452013
ESL,53072,2024-04-03T00:08:50.990000,0.607,P,0.01,0.02826,x,
F002,42505,2024-04-03T00:08:51.050000,0.434,P,0.01,0.005646,x,4.331713596688967
SM06,53117,2024-04-03T00:08:51.270000,0.451,S,0.01,0.0792,x,4.500684848247182
NNSH,53208,2024-04-03T00:08:52.080000,0.637,P,0.01,0.0002777,U,3.907154641596275
E077,53210,2024-04-03T00:08:52.500000,0.818,P,0.01,0.009848,x,4.43613026943669
E023,53294,2024-04-03T00:08:54.510000,0.531,P,0.01,0.003481,x,4.330158544878583
B215,53483,2024-04-03T00:08:56.150000,0.325,P,0.01,0.003124,U,4.389943048654941
B045,53878,2024-04-03T00:08:59.190000,0.39,P,0.01,0.001751,x,4.713932927021446
F002,43372,2024-04-03T00:08:59.720000,0.471,S,0.01,0.008335,x,4.331713596688967
E077,54049,2024-04-03T00:09:00.890000,0.348,S,0.01,0.009206,x,4.43613026943669
WUSB,54099,2024-04-03T00:09:00.998000,0.311,P,0.01,0.0005487,U,4.205099454728786
HWA,54219,2024-04-03T00:09:02.190000,0.329,P,0.01,0.001041,D,4.549231541457944
SM02,54068,2024-04-03T00:09:02.320000,0.659,P,0.01,0.05589,x,4.776526782343249
SM39,54195,2024-04-03T00:09:02.400000,0.305,P,0.01,0.1195,x,5.330334090422163
SM09,54191,2024-04-03T00:09:02.400000,0.704,P,0.01,0.07519,x,5.056851177829898
WPL,54322,2024-04-03T00:09:03.420000,0.657,P,0.01,0.005093,U,3.8841907861209455
B148,54299,2024-04-03T00:09:04.070000,0.685,P,0.01,0.006579,U,4.212897390530848
WCS,54411,2024-04-03T00:09:04.110000,0.312,P,0.01,0.0003381,D,3.5030736315556004
E023,54287,2024-04-03T00:09:04.440000,0.63,S,0.01,0.004054,x,4.330158544878583
YUS,54597,2024-04-03T00:09:06.110000,0.441,P,0.01,0.007311,x,
B071,54556,2024-04-03T00:09:06.360000,0.642,P,0.01,0.003048,x,4.107392022667172
SM02,54559,2024-04-03T00:09:07.230000,0.613,S,0.01,0.04143,x,4.776526782343249
SM39,54695,2024-04-03T00:09:07.400000,0.715,S,0.01,0.1195,x,5.330334090422163
SM09,54708,2024-04-03T00:09:07.570000,0.568,S,0.01,0.07519,x,5.056851177829898
B045,54737,2024-04-03T00:09:07.780000,0.429,P,0.01,0.003514,x,4.404729700195792
B068,54757,2024-04-03T00:09:07.900000,0.801,P,0.01,0.002693,x,4.174410568535476
ESL,54857,2024-04-03T00:09:08.840000,0.322,S,0.01,0.08182,x,4.5501972413150895
B138,54934,2024-04-03T00:09:09.390000,0.379,P,0.01,0.004438,x,4.3984724040720415
B090,54821,2024-04-03T00:09:09.460000,0.341,P,0.01,0.002036,x,4.256490693959384
EOS3,55379,2024-04-03T00:09:13.790000,0.57,S,0.01,0.0001117,x,
EDH,55432,2024-04-03T00:09:14.320000,0.337,P,0.01,0.0001294,U,3.9528767173336297
YUS,55731,2024-04-03T00:09:17.450000,0.425,S,0.01,0.01547,x,4.870166853215537
B071,55989,2024-04-03T00:09:20.690000,0.531,S,0.01,0.004891,x,
SM06,56234,2024-04-03T00:09:22.440000,0.342,P,0.01,0.02183,x,
SM02,56274,2024-04-03T00:09:24.380000,0.581,S,0.01,0.02687,x,
SM39,56401,2024-04-03T00:09:24.460000,0.721,S,0.01,0.1155,x,
SM09,56419,2024-04-03T00:09:24.680000,0.553,S,0.01,0.04414,x,
SM06,56497,2024-04-03T00:09:25.070000,0.454,S,0.01,0.01355,x,
CHK,56577,2024-04-03T00:09:25.980000,0.566,S,0.01,0.01322,x,4.894698597796164
B189,57268,2024-04-03T00:09:33.590000,0.355,S,0.01,0.002159,x,
HOPB,57558,2024-04-03T00:09:35.583000,0.907,P,0.01,0.009609,D,5.165359418049204
SM39,57611,2024-04-03T00:09:36.560000,0.861,P,0.01,0.1023,U,5.029299919216463
SM09,57627,2024-04-03T00:09:36.760000,0.891,P,0.01,0.231,x,5.170853245824791
SM02,57541,2024-04-03T00:09:37.050000,0.584,P,0.01,0.03412,x,4.701244835427536
HWA,57744,2024-04-03T00:09:37.440000,0.498,P,0.01,0.0005797,D,4.063873354484248
SM06,57794,2024-04-03T00:09:38.040000,0.772,P,0.01,0.03767,x,4.653468767694482
HOPB,57922,2024-04-03T00:09:39.223000,0.829,S,0.01,0.009609,x,5.165359418049204
LATB,57960,2024-04-03T00:09:39.608000,0.87,P,0.01,0.00213,D,5.136171701249363
NNSH,57970,2024-04-03T00:09:39.700000,0.828,P,0.01,0.0004051,D,4.512586888793184
E077,57952,2024-04-03T00:09:39.920000,0.822,P,0.01,0.05403,x,4.988319186553513
NDS,58022,2024-04-03T00:09:40.220000,0.401,P,0.01,0.0008905,U,4.406175740115044
ESL,58013,2024-04-03T00:09:40.400000,0.452,P,0.01,0.02578,x,4.449027186309038
SM39,58091,2024-04-03T00:09:41.360000,0.698,S,0.01,0.1023,x,5.029299919216463
E023,57999,2024-04-03T00:09:41.560000,0.449,P,0.01,0.04045,U,4.942104446151276
SM09,58124,2024-04-03T00:09:41.730000,0.509,S,0.01,0.231,x,5.170853245824791
SM02,58060,2024-04-03T00:09:42.240000,0.681,S,0.01,0.03412,x,4.701244835427536
E037,58226,2024-04-03T00:09:42.300000,0.586,P,0.01,0.04255,x,5.1731180580135385
TDCB,58248,2024-04-03T00:09:42.488000,0.764,P,0.01,0.0005236,U,4.566462979610396
E004,58220,2024-04-03T00:09:42.500000,0.712,P,0.01,0.03331,x,5.113240554778838
HWA,58270,2024-04-03T00:09:42.700000,0.308,S,0.01,0.0005797,x,4.063873354484248
YHNB,58285,2024-04-03T00:09:42.858000,0.787,P,0.01,0.0009274,U,5.004116922908748
FUSB,58287,2024-04-03T00:09:42.878000,0.328,P,0.01,0.0004244,D,4.398928483699362
B215,58159,2024-04-03T00:09:42.910000,0.709,P,0.01,0.04232,U,5.155147633219981
EOS3,58317,2024-04-03T00:09:43.170000,0.628,P,0.01,5.785e-05,U,4.789260146123274
SM06,58403,2024-04-03T00:09:44.130000,0.372,S,0.01,0.03398,x,4.653468767694482
GWUB,58447,2024-04-03T00:09:44.470000,0.663,P,0.01,0.0007581,D,5.010552210362735
WPL,58505,2024-04-03T00:09:45.250000,0.347,P,0.01,0.004341,x,4.587045092855647
LATB,58583,2024-04-03T00:09:45.838000,0.43,S,0.01,0.00213,x,5.136171701249363
NNSH,58595,2024-04-03T00:09:45.950000,0.464,S,0.01,0.0004051,x,4.512586888793184
NFF,58567,2024-04-03T00:09:45.970000,0.459,P,0.01,0.000429,U,4.340095771005609
E077,58618,2024-04-03T00:09:46.580000,0.531,S,0.01,0.05403,x,4.988319186553513
NDS,58694,2024-04-03T00:09:46.940000,0.604,S,0.01,0.0008905,x,4.406175740115044
B068,58883,2024-04-03T00:09:49.160000,0.316,P,0.01,0.002901,x,4.787548107871325
E023,58759,2024-04-03T00:09:49.160000,0.384,S,0.01,0.04045,x,4.942104446151276
TDCB,59002,2024-04-03T00:09:50.028000,0.635,S,0.01,0.0005236,x,4.566462979610396
YHNB,59112,2024-04-03T00:09:51.128000,0.641,S,0.01,0.0009274,x,5.004116922908748
E004,59118,2024-04-03T00:09:51.480000,0.435,S,0.01,0.03331,x,5.113240554778838
B215,59043,2024-04-03T00:09:51.750000,0.304,S,0.01,0.04232,x,5.155147633219981
GWUB,59360,2024-04-03T00:09:53.600000,0.301,S,0.01,0.0007581,x,5.010552210362735
SM39,59327,2024-04-03T00:09:53.720000,0.39,P,0.01,0.04817,x,
F002,48777,2024-04-03T00:09:53.770000,0.415,S,0.01,0.006374,x,4.555991280320695
SM02,59452,2024-04-03T00:09:56.160000,0.523,P,0.01,0.01464,x,4.699742644579098
SM09,59569,2024-04-03T00:09:56.180000,0.668,P,0.01,0.02967,x,4.726459300158249
HWA,59621,2024-04-03T00:09:56.210000,0.457,P,0.01,0.0006001,U,4.34741384893757
SM06,59637,2024-04-03T00:09:56.470000,0.452,P,0.01,0.01762,x,4.677453380447664
ESL,59669,2024-04-03T00:09:56.960000,0.425,P,0.01,0.06095,x,4.339001739474869
HOPB,59707,2024-04-03T00:09:57.073000,0.361,P,0.01,0.0004697,U,4.462069858470414
B189,59688,2024-04-03T00:09:57.790000,0.519,S,0.01,0.003945,x,4.674364773015977
E077,59948,2024-04-03T00:09:59.880000,0.513,P,0.01,0.01543,x,4.3563231344689
